userId,userSessionId,teamLevel,platformType,count_gameclicks,count_hits,count_buyId,avg_price,hit_precision
812,5648,1,android,69,8,NULL,NULL,11.5942029
1658,5649,1,iphone,31,5,NULL,NULL,16.12903226
1589,5650,1,iphone,26,2,NULL,NULL,7.692307692
1863,5651,1,android,35,4,NULL,NULL,11.42857143
937,5652,1,android,39,0,1,1,0
342,5653,1,android,36,5,NULL,NULL,13.88888889
849,5654,1,iphone,40,5,NULL,NULL,12.5
1277,5655,1,windows,46,8,NULL,NULL,17.39130435
2203,5656,1,android,68,6,NULL,NULL,8.823529412
585,5657,1,iphone,76,9,NULL,NULL,11.84210526
1370,5658,1,iphone,69,6,NULL,NULL,8.695652174
1623,5659,1,iphone,129,9,1,10,6.976744186
881,5660,1,iphone,36,6,NULL,NULL,16.66666667
83,5661,1,android,102,14,1,5,13.7254902
453,5662,1,android,102,7,NULL,NULL,6.862745098
1966,5663,1,iphone,63,8,NULL,NULL,12.6984127
1073,5664,1,android,141,21,NULL,NULL,14.89361702
121,5665,1,android,39,4,1,3,10.25641026
462,5666,1,android,90,10,1,3,11.11111111
708,5667,1,iphone,32,2,NULL,NULL,6.25
1145,5668,1,windows,102,17,NULL,NULL,16.66666667
445,5669,1,android,79,8,NULL,NULL,10.12658228
351,5670,1,windows,51,5,NULL,NULL,9.803921569
2355,5671,1,iphone,93,9,NULL,NULL,9.677419355
591,5672,1,windows,134,14,NULL,NULL,10.44776119
1900,5673,1,windows,61,3,NULL,NULL,4.918032787
770,5674,1,iphone,72,4,NULL,NULL,5.555555556
170,5675,1,iphone,64,7,NULL,NULL,10.9375
1926,5676,1,android,50,4,NULL,NULL,8
1035,5677,1,android,73,14,NULL,NULL,19.17808219
1559,5678,1,android,199,24,NULL,NULL,12.06030151
819,5679,1,iphone,51,8,1,20,15.68627451
1588,5680,1,android,32,2,NULL,NULL,6.25
1034,5681,1,iphone,38,1,NULL,NULL,2.631578947
782,5682,1,iphone,48,5,NULL,NULL,10.41666667
2368,5683,1,iphone,63,4,NULL,NULL,6.349206349
1631,5684,1,windows,25,4,NULL,NULL,16
1756,5685,1,android,58,6,NULL,NULL,10.34482759
1629,5686,1,iphone,45,6,NULL,NULL,13.33333333
1315,5687,1,windows,188,21,NULL,NULL,11.17021277
852,5688,1,android,31,5,NULL,NULL,16.12903226
982,5689,1,iphone,96,14,NULL,NULL,14.58333333
2120,5690,1,iphone,59,3,NULL,NULL,5.084745763
344,5691,1,iphone,84,16,NULL,NULL,19.04761905
489,5692,1,iphone,82,8,NULL,NULL,9.756097561
411,5693,1,iphone,53,5,NULL,NULL,9.433962264
2229,5694,1,iphone,63,5,NULL,NULL,7.936507937
1924,5695,1,iphone,49,5,NULL,NULL,10.20408163
970,5696,1,iphone,34,2,NULL,NULL,5.882352941
2199,5697,1,android,51,6,2,2.5,11.76470588
1143,5698,1,android,47,5,2,2,10.63829787
515,5699,1,iphone,73,9,NULL,NULL,12.32876712
1353,5700,1,android,132,11,NULL,NULL,8.333333333
2333,5701,1,android,283,28,NULL,NULL,9.893992933
355,5702,1,iphone,114,14,NULL,NULL,12.28070175
1560,5703,1,android,101,15,NULL,NULL,14.85148515
1928,5704,1,android,85,9,NULL,NULL,10.58823529
1874,5705,1,mac,45,3,NULL,NULL,6.666666667
1652,5706,1,android,46,7,1,1,15.2173913
867,5707,1,iphone,77,8,NULL,NULL,10.38961039
1175,5708,1,iphone,116,11,NULL,NULL,9.482758621
2222,5709,1,iphone,41,6,1,20,14.63414634
1082,5710,1,iphone,39,4,NULL,NULL,10.25641026
128,5711,1,iphone,38,3,NULL,NULL,7.894736842
744,5712,1,windows,94,4,NULL,NULL,4.255319149
487,5713,1,iphone,78,8,NULL,NULL,10.25641026
1591,5714,1,iphone,62,10,NULL,NULL,16.12903226
1972,5715,1,mac,284,29,NULL,NULL,10.21126761
374,5716,1,android,47,7,1,3,14.89361702
321,5717,1,windows,63,5,NULL,NULL,7.936507937
673,5718,1,iphone,126,18,NULL,NULL,14.28571429
1191,5719,1,iphone,55,8,NULL,NULL,14.54545455
1535,5720,1,iphone,76,7,1,20,9.210526316
21,5721,1,android,52,2,1,3,3.846153846
2053,5722,1,android,68,4,NULL,NULL,5.882352941
309,5723,1,windows,73,9,NULL,NULL,12.32876712
1260,5724,1,iphone,43,3,NULL,NULL,6.976744186
343,5725,1,windows,68,2,NULL,NULL,2.941176471
217,5726,1,mac,39,2,NULL,NULL,5.128205128
1205,5727,1,android,25,3,NULL,NULL,12
751,5728,1,android,59,7,NULL,NULL,11.86440678
1173,5729,1,iphone,41,3,NULL,NULL,7.317073171
1214,5730,1,linux,72,11,NULL,NULL,15.27777778
2004,5731,1,iphone,39,4,NULL,NULL,10.25641026
1485,5732,1,iphone,81,14,NULL,NULL,17.28395062
292,5733,1,windows,327,27,NULL,NULL,8.256880734
127,5734,1,iphone,52,4,NULL,NULL,7.692307692
1404,5735,1,mac,85,6,NULL,NULL,7.058823529
2161,5736,1,android,71,9,NULL,NULL,12.67605634
1387,5737,1,android,75,13,NULL,NULL,17.33333333
422,5738,1,android,66,2,NULL,NULL,3.03030303
1362,5739,1,iphone,114,9,NULL,NULL,7.894736842
28,5740,1,iphone,27,3,NULL,NULL,11.11111111
1042,5741,1,android,44,3,NULL,NULL,6.818181818
2243,5742,1,android,61,9,NULL,NULL,14.75409836
1059,5743,1,android,45,2,NULL,NULL,4.444444444
1368,5744,1,iphone,64,9,NULL,NULL,14.0625
25,5745,1,mac,63,10,NULL,NULL,15.87301587
1072,5746,1,iphone,123,19,NULL,NULL,15.44715447
239,5747,1,iphone,68,11,NULL,NULL,16.17647059
600,5748,1,iphone,93,11,NULL,NULL,11.82795699
2379,5749,1,android,62,9,1,3,14.51612903
2283,5750,1,android,63,5,NULL,NULL,7.936507937
30,5751,1,iphone,40,3,NULL,NULL,7.5
1351,5752,1,iphone,66,5,NULL,NULL,7.575757576
1669,5753,1,iphone,106,10,NULL,NULL,9.433962264
155,5754,1,android,36,4,NULL,NULL,11.11111111
1349,5755,1,iphone,37,6,NULL,NULL,16.21621622
212,5756,1,android,107,12,NULL,NULL,11.21495327
899,5757,1,windows,347,34,NULL,NULL,9.798270893
1793,5758,1,android,75,7,NULL,NULL,9.333333333
76,5759,1,windows,38,5,NULL,NULL,13.15789474
1742,5760,1,android,50,6,NULL,NULL,12
2336,5761,1,windows,280,29,NULL,NULL,10.35714286
706,5762,1,iphone,63,5,NULL,NULL,7.936507937
1731,5763,1,iphone,70,3,NULL,NULL,4.285714286
2359,5764,1,iphone,77,11,NULL,NULL,14.28571429
1320,5765,1,iphone,191,23,NULL,NULL,12.04188482
845,5766,1,android,61,7,NULL,NULL,11.47540984
1856,5767,1,linux,70,12,NULL,NULL,17.14285714
1640,5768,1,iphone,69,7,NULL,NULL,10.14492754
142,5769,1,iphone,73,9,NULL,NULL,12.32876712
1807,5770,1,iphone,177,25,2,7.5,14.12429379
820,5771,1,android,40,4,NULL,NULL,10
807,5772,1,linux,51,5,NULL,NULL,9.803921569
279,5773,1,windows,59,4,NULL,NULL,6.779661017
1513,5774,1,mac,125,11,NULL,NULL,8.8
868,5775,1,iphone,54,5,1,10,9.259259259
1326,5776,1,iphone,43,5,NULL,NULL,11.62790698
1567,5777,1,android,27,4,2,4,14.81481481
1206,5778,1,android,54,4,NULL,NULL,7.407407407
221,5779,1,iphone,37,2,1,20,5.405405405
2360,5780,1,android,36,5,NULL,NULL,13.88888889
2149,5781,1,android,36,2,NULL,NULL,5.555555556
1318,5782,1,iphone,84,9,NULL,NULL,10.71428571
